,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,City_State,City
30635,2018,1,UA,United Air Lines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",297,40,13.85,2.24,16.6,0,7.32,6,0,1715,616,74,477,0,548,"Fort Myers, FL",Fort Myers
30636,2018,1,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",763,75,22.83,6.34,19.5,0,26.33,6,11,5005,1185,673,946,0,2201,"San Diego, CA",San Diego
30637,2018,1,UA,United Air Lines Inc.,SAT,"San Antonio, TX: San Antonio International",380,38,11.22,6.42,5.52,0,14.85,7,0,3576,997,505,882,0,1192,"San Antonio, TX",San Antonio
30640,2018,1,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",755,83,31.38,6.66,21.09,0,23.87,7,1,4478,1502,473,767,0,1736,"Seattle, WA",Seattle
30641,2018,1,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",4468,794,145.7,25.94,465.71,0,156.65,34,1,50315,10097,1416,24380,0,14422,"San Francisco, CA",San Francisco
30642,2018,1,UA,United Air Lines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",184,22,10.4,1.04,4.91,0,5.65,2,0,931,401,66,182,0,282,"San Jose, CA",San Jose
30644,2018,1,UA,United Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",190,15,6.79,0.53,5.76,0,1.93,2,0,831,291,53,265,0,222,"Salt Lake City, UT",Salt Lake City
30645,2018,1,UA,United Air Lines Inc.,SMF,"Sacramento, CA: Sacramento International",203,23,7.43,1.23,3.99,0,10.36,2,0,1311,427,41,126,0,717,"Sacramento, CA",Sacramento
30646,2018,1,UA,United Air Lines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",557,54,19.24,4.07,13.51,0,17.17,7,5,2829,896,194,626,0,1113,"Santa Ana, CA",Santa Ana
30648,2018,1,UA,United Air Lines Inc.,TPA,"Tampa, FL: Tampa International",586,65,22.28,2.72,15.74,0,24.26,11,0,3690,970,359,620,0,1741,"Tampa, FL",Tampa
30651,2018,1,VX,Virgin America,AUS,"Austin, TX: Austin - Bergstrom International",58,10,4.84,0,4.16,0,1,1,0,469,317,0,107,0,45,"Austin, TX",Austin
30652,2018,1,VX,Virgin America,BNA,"Nashville, TN: Nashville International",31,3,1,0,1,0,1,0,0,68,18,0,26,0,24,"Nashville, TN",Nashville
30653,2018,1,VX,Virgin America,BOS,"Boston, MA: Logan International",92,18,3.12,0,12.13,0.84,1.92,4,0,547,118,0,325,53,51,"Boston, MA",Boston
30654,2018,1,VX,Virgin America,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Baltimore, MD",Baltimore
30655,2018,1,VX,Virgin America,DAL,"Dallas, TX: Dallas Love Field",283,25,9.3,0,8.23,0,7.47,3,0,1213,515,0,203,0,495,"Dallas, TX",Dallas
30656,2018,1,VX,Virgin America,DCA,"Washington, DC: Ronald Reagan Washington National",115,14,4.07,0,6.68,0,3.25,1,0,710,111,0,493,0,106,"Washington, DC",Washington
30657,2018,1,VX,Virgin America,DEN,"Denver, CO: Denver International",59,6,2,0,3,0,1,1,0,402,70,0,170,0,162,"Denver, CO",Denver
30658,2018,1,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",189,49,8.36,1,37.86,0,1.78,7,0,2551,546,45,1906,0,54,"Newark, NJ",Newark
30659,2018,1,VX,Virgin America,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",114,18,8.74,0,6.69,0,2.57,0,0,590,262,0,225,0,103,"Fort Lauderdale, FL",Fort Lauderdale
30660,2018,1,VX,Virgin America,HNL,"Honolulu, HI: Daniel K Inouye International",62,10,2.37,0,4.3,0.47,2.86,0,0,497,99,0,164,16,218,"Honolulu, HI",Honolulu
30661,2018,1,VX,Virgin America,IAD,"Washington, DC: Washington Dulles International",116,9,4.51,0,4.49,0,0,0,0,559,420,0,139,0,0,"Washington, DC",Washington
30662,2018,1,VX,Virgin America,IND,"Indianapolis, IN: Indianapolis International",31,4,1.14,0,2.19,0,0.67,0,0,84,22,0,42,0,20,"Indianapolis, IN",Indianapolis
30663,2018,1,VX,Virgin America,JFK,"New York, NY: John F. Kennedy International",357,53,16.15,0,29.46,1.38,6.02,20,1,3131,1221,0,1670,51,189,"New York, NY",New York
30665,2018,1,VX,Virgin America,LAS,"Las Vegas, NV: McCarran International",354,52,13.62,0,22.03,0,16.34,2,0,3168,869,0,1387,0,912,"Las Vegas, NV",Las Vegas
30666,2018,1,VX,Virgin America,LAX,"Los Angeles, CA: Los Angeles International",1201,138,33.65,6.48,60.93,1.21,35.73,24,2,6633,2348,243,1907,59,2076,"Los Angeles, CA",Los Angeles
30667,2018,1,VX,Virgin America,MCO,"Orlando, FL: Orlando International",62,10,1.99,0,5.86,0.66,1.49,0,0,408,190,0,159,15,44,"Orlando, FL",Orlando
30668,2018,1,VX,Virgin America,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",31,3,1,0,2,0,0,1,0,77,37,0,40,0,0,"New Orleans, LA",New Orleans
30670,2018,1,VX,Virgin America,ORD,"Chicago, IL: Chicago O'Hare International",69,11,4.5,0,5.86,0,0.64,1,0,415,157,0,229,0,29,"Chicago, IL",Chicago
30671,2018,1,VX,Virgin America,PDX,"Portland, OR: Portland International",65,9,3.69,0,1.55,0,3.76,0,0,560,226,0,60,0,274,"Portland, OR",Portland
30672,2018,1,VX,Virgin America,PHL,"Philadelphia, PA: Philadelphia International",62,8,1.92,0,5.71,0,0.37,2,0,231,53,0,155,0,23,"Philadelphia, PA",Philadelphia
30674,2018,1,VX,Virgin America,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",31,5,1.49,0,2.06,0,1.45,1,0,122,41,0,52,0,29,"Raleigh/Durham, NC",Raleigh/Durham
30675,2018,1,VX,Virgin America,SAN,"San Diego, CA: San Diego International",161,28,11.22,0,9.34,0,7.43,3,0,1299,507,0,351,0,441,"San Diego, CA",San Diego
30676,2018,1,VX,Virgin America,SEA,"Seattle, WA: Seattle/Tacoma International",176,29,5.9,0,10.95,0,12.16,1,0,1001,189,0,300,0,512,"Seattle, WA",Seattle
30677,2018,1,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1880,372,68.57,6.79,240.29,2.68,53.67,31,3,19857,4493,439,11076,80,3769,"San Francisco, CA",San Francisco
30681,2018,1,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3529,462,144.25,4.45,112.23,0,201.08,152,2,20436,6997,293,3703,0,9443,"Atlanta, GA",Atlanta
30682,2018,1,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",1849,249,83.41,0.8,41.68,0,123.11,37,2,10668,3708,82,1156,0,5722,"Austin, TX",Austin
30685,2018,1,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",2699,370,135.9,6.57,57.36,1,169.17,80,9,16643,5880,464,2013,25,8261,"Nashville, TN",Nashville
30687,2018,1,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",839,164,45.53,5.71,57.38,0,55.38,53,0,8668,2369,395,2841,0,3063,"Boston, MA",Boston
30690,2018,1,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5748,722,206.41,11.35,154.82,4.9,344.52,153,7,34677,11805,930,4931,122,16889,"Baltimore, MD",Baltimore
30692,2018,1,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",573,100,32.51,1.21,22.26,0,44.02,15,3,4123,1420,28,635,0,2040,"Cleveland, OH",Cleveland
30693,2018,1,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",236,35,10.83,1.4,10.69,0,12.08,6,1,1258,337,59,330,0,532,"Charlotte, NC",Charlotte
30694,2018,1,WN,Southwest Airlines Co.,CMH,"Columbus, OH: John Glenn Columbus International",957,198,72.7,5.64,32.47,1,86.19,20,1,9907,3598,345,1088,27,4849,"Columbus, OH",Columbus
30696,2018,1,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",240,36,14.24,0.9,4.36,0,16.5,5,0,1536,492,78,173,0,793,"Cincinnati, OH",Cincinnati
30697,2018,1,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",5406,697,216.18,7.81,126.17,0.44,346.4,98,15,30910,10574,382,4338,10,15606,"Dallas, TX",Dallas
30698,2018,1,WN,Southwest Airlines Co.,DCA,"Washington, DC: Ronald Reagan Washington National",1286,214,66.44,2.9,63.28,0.15,81.23,40,4,11999,3041,96,3347,7,5508,"Washington, DC",Washington
30699,2018,1,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",5515,708,227.73,14.84,127.35,1.83,336.25,73,5,32473,11621,1088,4569,73,15122,"Denver, CO",Denver
30701,2018,1,WN,Southwest Airlines Co.,DTW,"Detroit, MI: Detroit Metro Wayne County",559,109,41.7,3.25,16.99,0,47.06,10,0,4568,1624,187,639,0,2118,"Detroit, MI",Detroit
30704,2018,1,WN,Southwest Airlines Co.,EWR,"Newark, NJ: Newark Liberty International",513,153,38.11,2.86,66.02,1.53,44.48,38,1,7305,1890,173,2976,50,2216,"Newark, NJ",Newark
30705,2018,1,WN,Southwest Airlines Co.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2228,354,124.18,6.44,96.61,0.47,126.3,31,2,15936,5798,695,3016,8,6419,"Fort Lauderdale, FL",Fort Lauderdale
30710,2018,1,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4331,630,187.07,6.56,173.71,0,262.66,161,13,29230,8230,638,7207,0,13155,"Houston, TX",Houston
30712,2018,1,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",202,18,7.19,0,4.55,0,6.26,2,0,580,303,0,108,0,169,"Washington, DC",Washington
30714,2018,1,WN,Southwest Airlines Co.,IND,"Indianapolis, IN: Indianapolis International",971,178,67.05,2.36,18.22,0,90.38,15,2,7660,2978,79,623,0,3980,"Indianapolis, IN",Indianapolis
30717,2018,1,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6014,732,196.35,12.31,136.17,0.13,387.04,75,3,37765,10048,627,7684,10,19396,"Las Vegas, NV",Las Vegas
30718,2018,1,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3604,596,185.48,3.51,149.51,3.08,254.43,61,6,28183,9239,165,5789,154,12836,"Los Angeles, CA",Los Angeles
30720,2018,1,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",937,232,67.87,3.41,97.17,1,62.55,64,3,11722,3458,245,3910,15,4094,"New York, NY",New York
30724,2018,1,WN,Southwest Airlines Co.,MCI,"Kansas City, MO: Kansas City International",2068,283,103.36,0.95,31.21,0,147.48,33,0,12649,4747,41,1183,0,6678,"Kansas City, MO",Kansas City
30725,2018,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3494,533,165.31,9.16,124.82,0,233.7,65,1,24456,8427,459,3928,0,11642,"Orlando, FL",Orlando
30726,2018,1,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",6366,1092,298.94,10.66,297.37,3.37,481.67,280,26,47996,14280,745,9759,75,23137,"Chicago, IL",Chicago
30729,2018,1,WN,Southwest Airlines Co.,MKE,"Milwaukee, WI: General Mitchell International",1047,154,50.4,0.56,17.88,0.65,84.52,17,2,7833,3142,29,527,11,4124,"Milwaukee, WI",Milwaukee
30730,2018,1,WN,Southwest Airlines Co.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",656,110,40.61,1.91,21.6,0,45.87,28,4,4047,1316,87,651,0,1993,"Minneapolis, MN",Minneapolis
30731,2018,1,WN,Southwest Airlines Co.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1702,251,80.4,2.36,44.92,1,122.31,54,0,10731,3350,82,1578,44,5677,"New Orleans, LA",New Orleans
30732,2018,1,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",3289,398,117.94,3.85,42.11,1,233.09,43,3,19214,5835,310,1240,15,11814,"Oakland, CA",Oakland
30738,2018,1,WN,Southwest Airlines Co.,PDX,"Portland, OR: Portland International",1096,141,47.95,0,16.59,0,76.46,1,0,5330,1715,0,427,0,3188,"Portland, OR",Portland
30739,2018,1,WN,Southwest Airlines Co.,PHL,"Philadelphia, PA: Philadelphia International",732,141,53.55,2.05,24.97,0.18,60.24,34,0,6399,2530,57,972,12,2828,"Philadelphia, PA",Philadelphia
30740,2018,1,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5067,1640,207.38,8.22,1061.83,1.35,361.21,54,5,69117,10733,741,39957,144,17542,"Phoenix, AZ",Phoenix
30741,2018,1,WN,Southwest Airlines Co.,PIT,"Pittsburgh, PA: Pittsburgh International",803,121,46.69,0.87,16.78,0,56.66,10,0,5355,2353,67,509,0,2426,"Pittsburgh, PA",Pittsburgh
30745,2018,1,WN,Southwest Airlines Co.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",821,132,57.91,1.68,13.98,1,57.43,43,0,6092,2599,35,471,34,2953,"Raleigh/Durham, NC",Raleigh/Durham
30749,2018,1,WN,Southwest Airlines Co.,RSW,"Fort Myers, FL: Southwest Florida International",744,126,37.17,5.7,36.47,0,46.66,6,6,5472,1708,316,1203,0,2245,"Fort Myers, FL",Fort Myers
30750,2018,1,WN,Southwest Airlines Co.,SAN,"San Diego, CA: San Diego International",3103,440,121.5,6.76,69.09,1.14,241.52,63,25,20010,5449,745,2177,60,11579,"San Diego, CA",San Diego
30751,2018,1,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1318,220,72.13,3.3,23.93,0,120.64,27,0,9829,3146,189,824,0,5670,"San Antonio, TX",San Antonio
30753,2018,1,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",898,121,42.1,1.43,22.36,0.07,55.04,4,2,5250,1831,44,536,8,2831,"Seattle, WA",Seattle
30754,2018,1,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",1425,376,68.03,10.41,172.07,0,125.49,54,0,22693,4280,516,9552,0,8345,"San Francisco, CA",San Francisco
30755,2018,1,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",2313,301,80.12,1.78,38.54,8.81,171.75,31,1,12546,3249,87,1462,660,7088,"San Jose, CA",San Jose
30757,2018,1,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",979,141,53.34,0.38,12.65,0,74.63,5,1,6120,2129,13,364,0,3614,"Salt Lake City, UT",Salt Lake City
30758,2018,1,WN,Southwest Airlines Co.,SMF,"Sacramento, CA: Sacramento International",2219,298,86.28,4.51,20.28,0,186.94,18,0,13485,4021,120,659,0,8685,"Sacramento, CA",Sacramento
30759,2018,1,WN,Southwest Airlines Co.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",1320,179,62.21,0.81,18.03,2.57,95.37,10,2,9005,3339,21,732,170,4743,"Santa Ana, CA",Santa Ana
30760,2018,1,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",3044,420,128.53,4.59,67.13,0.88,218.87,51,1,18024,5729,238,2060,15,9982,"St. Louis, MO",St. Louis
30761,2018,1,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",2420,452,148.16,7.98,101.92,0,193.94,44,1,21340,7206,753,3113,0,10268,"Tampa, FL",Tampa
30766,2018,1,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",191,26,15.67,0.09,4.07,0,6.17,17,0,2053,441,4,167,0,1441,"Atlanta, GA",Atlanta
30767,2018,1,YV,Mesa Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",91,10,3.77,1,2.23,0,3,3,0,1546,485,617,120,0,324,"Austin, TX",Austin
30773,2018,1,YV,Mesa Airlines Inc.,BNA,"Nashville, TN: Nashville International",135,16,7,2.91,4.97,0.12,1,7,0,1248,909,73,152,4,110,"Nashville, TN",Nashville
30775,2018,1,YV,Mesa Airlines Inc.,BOS,"Boston, MA: Logan International",11,2,1.95,0,0.05,0,0,1,0,291,278,0,13,0,0,"Boston, MA",Boston
30785,2018,1,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",125,14,4.67,0,2.62,0,6.7,2,0,1039,373,0,90,0,576,"Cleveland, OH",Cleveland
30786,2018,1,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",198,29,11.16,2.61,10.83,0.4,3.99,7,0,2186,1170,114,340,6,556,"Charlotte, NC",Charlotte
30787,2018,1,YV,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",66,12,6.74,0,3.78,0,1.47,0,0,996,736,0,113,0,147,"Columbus, OH",Columbus
30789,2018,1,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",134,21,10.38,0,3.2,0.45,6.97,6,0,2194,1631,0,108,10,445,"Cincinnati, OH",Cincinnati
30791,2018,1,YV,Mesa Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",23,3,3,0,0,0,0,2,1,97,97,0,0,0,0,"Washington, DC",Washington
30792,2018,1,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2612,387,123.69,15.6,91.73,1.02,154.95,193,11,25908,10445,2259,2984,20,10200,"Dallas/Fort Worth, TX",Dallas/Fort Worth
30795,2018,1,YV,Mesa Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",204,31,13.93,3.38,9.06,0,4.63,9,0,2251,1479,198,280,0,294,"Detroit, MI",Detroit
30807,2018,1,YV,Mesa Airlines Inc.,HOU,"Houston, TX: William P Hobby",182,34,11.95,1.14,13.51,0,7.39,20,0,1890,607,104,423,0,756,"Houston, TX",Houston
30810,2018,1,YV,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",1916,269,58.85,15.06,78.03,3,114.05,71,0,24694,9095,1677,3154,56,10712,"Washington, DC",Washington
30811,2018,1,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2324,325,96.42,17.88,108.23,0,102.47,231,13,25131,10151,1870,4793,0,8317,"Houston, TX",Houston
30814,2018,1,YV,Mesa Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",62,10,4.42,0,2.58,1,2,2,0,1148,1008,0,75,15,50,"Indianapolis, IN",Indianapolis
30819,2018,1,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",125,27,5.48,1.01,13.8,0,6.71,7,0,1742,336,20,489,0,897,"New York, NY",New York
30823,2018,1,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",191,22,11.84,0.88,2.93,0.67,5.68,19,0,2103,1455,35,103,10,500,"Kansas City, MO",Kansas City
30831,2018,1,YV,Mesa Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",119,19,10.58,1.6,5.48,0.34,1,11,0,2443,1951,229,209,19,35,"Minneapolis, MN",Minneapolis
30832,2018,1,YV,Mesa Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",50,9,5.77,0.17,0.74,0,2.32,4,0,704,423,30,67,0,184,"New Orleans, LA",New Orleans
30839,2018,1,YV,Mesa Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",174,30,13.64,1,12.38,0,2.98,10,1,1916,1056,60,519,0,281,"Philadelphia, PA",Philadelphia
30840,2018,1,YV,Mesa Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1597,446,57.2,1.22,272.61,0.17,114.79,33,1,23755,5801,245,10307,3,7399,"Phoenix, AZ",Phoenix
30842,2018,1,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",163,27,10.68,0.97,2.04,0,13.31,2,0,1676,839,100,59,0,678,"Pittsburgh, PA",Pittsburgh
30847,2018,1,YV,Mesa Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",124,15,7.79,1,4.21,0,2,8,0,974,327,323,137,0,187,"Raleigh/Durham, NC",Raleigh/Durham
30852,2018,1,YV,Mesa Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",65,12,4.52,0,1.98,0,5.5,2,0,608,265,0,48,0,295,"San Antonio, TX",San Antonio
30857,2018,1,YV,Mesa Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",52,10,6.35,1,2.65,0,0,6,0,622,504,24,94,0,0,"Salt Lake City, UT",Salt Lake City
30858,2018,1,YV,Mesa Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",15,3,0.78,1.91,0.3,0,0,1,0,253,50,185,18,0,0,"Sacramento, CA",Sacramento
30859,2018,1,YV,Mesa Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",101,14,5.82,1.14,4.86,0,2.17,11,1,1453,995,127,157,0,174,"St. Louis, MO",St. Louis
30869,2018,1,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",409,68,12.19,0.86,24.55,0,30.4,25,0,2989,677,44,772,0,1496,"Atlanta, GA",Atlanta
30870,2018,1,YX,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",140,4,1.28,0.14,2.58,0,0,4,0,99,36,5,58,0,0,"Austin, TX",Austin
30874,2018,1,YX,Republic Airline,BNA,"Nashville, TN: Nashville International",457,79,26.36,5.86,19.85,0,26.93,26,0,5027,1432,519,806,0,2270,"Nashville, TN",Nashville
30876,2018,1,YX,Republic Airline,BOS,"Boston, MA: Logan International",522,123,24.04,6.01,57.78,0,35.18,58,3,9764,1559,1362,3390,0,3453,"Boston, MA",Boston
30881,2018,1,YX,Republic Airline,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",122,19,7.58,0.38,0.8,0,10.24,10,0,847,307,53,106,0,381,"Baltimore, MD",Baltimore
30884,2018,1,YX,Republic Airline,CLE,"Cleveland, OH: Cleveland-Hopkins International",126,15,9.55,1,1.13,0,3.33,1,0,640,453,18,54,0,115,"Cleveland, OH",Cleveland
30885,2018,1,YX,Republic Airline,CLT,"Charlotte, NC: Charlotte Douglas International",894,127,28.55,4.52,44.48,0,49.45,26,0,7251,1571,377,1839,0,3464,"Charlotte, NC",Charlotte
30886,2018,1,YX,Republic Airline,CMH,"Columbus, OH: John Glenn Columbus International",997,159,40.06,14.95,32.04,1,70.95,49,6,13689,2895,2831,2185,53,5725,"Columbus, OH",Columbus
30888,2018,1,YX,Republic Airline,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",269,40,17.48,1.68,7.33,0,13.52,16,0,1774,769,129,228,0,648,"Cincinnati, OH",Cincinnati
30890,2018,1,YX,Republic Airline,DCA,"Washington, DC: Ronald Reagan Washington National",2177,402,80.96,18.35,160.16,0,142.53,122,11,25668,5164,2109,8029,0,10366,"Washington, DC",Washington
30891,2018,1,YX,Republic Airline,DEN,"Denver, CO: Denver International",321,48,15.78,1.98,15.29,0,14.95,2,0,3732,1555,272,539,0,1366,"Denver, CO",Denver
30892,2018,1,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",330,47,11.97,2.96,16.7,0,15.37,13,0,2805,847,343,643,0,972,"Dallas/Fort Worth, TX",Dallas/Fort Worth
30894,2018,1,YX,Republic Airline,DTW,"Detroit, MI: Detroit Metro Wayne County",604,102,24.52,6.5,38.62,0,32.36,18,0,6271,1746,767,1624,0,2134,"Detroit, MI",Detroit
30896,2018,1,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2019,526,54.08,10.44,378.33,0.46,82.69,144,2,31518,4313,964,20784,15,5442,"Newark, NJ",Newark
30903,2018,1,YX,Republic Airline,IAD,"Washington, DC: Washington Dulles International",89,7,3.56,0,0.82,0.18,2.43,0,0,188,82,0,14,9,83,"Washington, DC",Washington
30904,2018,1,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",1295,173,33.55,10.15,78.16,1.41,49.73,67,6,9828,2727,845,3203,64,2989,"Houston, TX",Houston
30907,2018,1,YX,Republic Airline,IND,"Indianapolis, IN: Indianapolis International",1043,162,33.6,8.07,43.08,0,77.25,46,1,10202,2000,1251,1531,0,5420,"Indianapolis, IN",Indianapolis
30909,2018,1,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",249,46,11.78,1.44,17.69,0,15.09,27,1,3002,874,200,584,0,1344,"New York, NY",New York
30912,2018,1,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2697,658,109.35,41.66,334.17,0,172.83,199,3,45267,9510,5078,17198,0,13481,"New York, NY",New York
30914,2018,1,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",279,50,13.52,2.93,7.19,0,26.36,11,0,2487,691,117,240,0,1439,"Kansas City, MO",Kansas City
30915,2018,1,YX,Republic Airline,MCO,"Orlando, FL: Orlando International",1,1,0,0,1,0,0,0,0,23,0,0,23,0,0,"Orlando, FL",Orlando
30918,2018,1,YX,Republic Airline,MIA,"Miami, FL: Miami International",1228,180,51.57,7.58,77.42,0.1,43.34,26,0,8476,2976,697,2398,3,2402,"Miami, FL",Miami
30919,2018,1,YX,Republic Airline,MKE,"Milwaukee, WI: General Mitchell International",144,29,7.94,1.09,7.16,0,12.81,8,0,1336,351,195,344,0,446,"Milwaukee, WI",Milwaukee
30921,2018,1,YX,Republic Airline,MSP,"Minneapolis, MN: Minneapolis-St Paul International",423,76,21.43,2.68,25.05,1,25.84,26,0,3722,1244,225,855,32,1366,"Minneapolis, MN",Minneapolis
30922,2018,1,YX,Republic Airline,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",208,31,6.9,2.46,8.48,0,13.16,8,1,1927,322,168,217,0,1220,"New Orleans, LA",New Orleans
30926,2018,1,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",1484,303,54.53,13.32,133.68,0.05,101.42,55,2,19131,4486,1274,5774,2,7595,"Chicago, IL",Chicago
30930,2018,1,YX,Republic Airline,PHL,"Philadelphia, PA: Philadelphia International",1600,308,55.13,9.49,147.98,1.09,94.31,93,6,17231,4428,943,5890,32,5938,"Philadelphia, PA",Philadelphia
30931,2018,1,YX,Republic Airline,PIT,"Pittsburgh, PA: Pittsburgh International",648,114,41.49,2.88,26.65,0.06,42.92,28,0,6450,2493,179,842,6,2930,"Pittsburgh, PA",Pittsburgh
30936,2018,1,YX,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",369,56,16.08,3.62,17.47,0,18.83,37,0,2705,787,141,592,0,1185,"Raleigh/Durham, NC",Raleigh/Durham
30939,2018,1,YX,Republic Airline,RSW,"Fort Myers, FL: Southwest Florida International",51,7,1.94,0,3.36,0,1.7,1,0,315,125,0,122,0,68,"Fort Myers, FL",Fort Myers
30940,2018,1,YX,Republic Airline,SAT,"San Antonio, TX: San Antonio International",8,2,1.04,0,0,0,0.96,0,0,64,41,0,0,0,23,"San Antonio, TX",San Antonio
30943,2018,1,YX,Republic Airline,SLC,"Salt Lake City, UT: Salt Lake City International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salt Lake City, UT",Salt Lake City
30945,2018,1,YX,Republic Airline,STL,"St. Louis, MO: St Louis Lambert International",258,38,10.07,0.62,10.28,0,17.03,7,0,1970,480,39,419,0,1032,"St. Louis, MO",St. Louis
